Idade;Sexo;Renda_Men;Obt_info;Forma_diver;Possuir_acessar;Comp_on_pres;Temp_med;Meio_pagamento;Freq_comp_on;Comp_por_rec;Disp_p_comp_on;Valor_med_gasto;Facilidade_nav;Comp_preco;Satisfeito_compra_on;Seg_com_on;Sust_com_on;Crit_comp_on;
23;Masculino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);1;Carteira Digital (cartão no celular);Frequentemente (Mensal);Sim;Celular;300;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo em parte;Nem concordo e nem discordo;Avaliação dos outros compradores;
54;Masculino;acima de R$ 10.000;Redes Sociais;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Só acessar.;Loja Física;2;Carteira Digital (cartão no celular);Frequentemente (Mensal);Sim;Celular;50;Concordo em parte;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo em parte;Preço;
28;Feminino;de R$ 5.001 a R$ 10.000;Podcasts;Redes Sociais;Mais possuir do que apenas acessar;Loja Virtual (Internet);3;Carteira Digital (cartão no celular);Frequentemente (Mensal);Sim;Celular;1000;Discorto em parte;Concordo totalmente;Concordo totalmente;Nem concordo e nem discordo;Nem concordo e nem discordo;Avaliação dos outros compradores;
28;Feminino;de R$ 5.001 a R$ 10.000;Redes Sociais;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);6;Carteira Digital (cartão no celular);Frequentemente (Mensal);Sim;Celular;300;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo em parte;Nem concordo e nem discordo;Reputação da loja/site;
25;Feminino;de R$ 2.001 a R$ 5.000;Sites online (internet);Redes Sociais;Mais possuir do que apenas acessar;Loja Física;4;Pix;Às vezes (Semestral);Sim;Celular;150;Concordo totalmente;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo em parte;Qualidade do produto;
18;Feminino;Até R$ 2.000,00;Sites online (internet);Redes Sociais;Mais possuir do que apenas acessar;Loja Física;4;Pix;Frequentemente (Mensal);Sim;Celular;500;Concordo totalmente;Concordo totalmente;Nem concordo e nem discordo;Discordo totamente;Concordo em parte;Preço;
45;Feminino;de R$ 5.001 a R$ 10.000;Sites online (internet);Eventos presenciais;Mais possuir do que apenas acessar;Loja Física;4;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Celular;300;Discorto em parte;Concordo em parte;Concordo em parte;Concordo em parte;Nem concordo e nem discordo;Qualidade do produto;
47;Feminino;acima de R$ 10.000;Redes Sociais;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);4;Pix;Frequentemente (Mensal);Sim;Celular;500;Concordo totalmente;Concordo em parte;Concordo em parte;Discordo em parte;Concordo em parte;Qualidade do produto;
18;Feminino;Até R$ 2.000,00;Redes Sociais;Redes Sociais;Só possuir;Loja Física;8;Pix;Frequentemente (Mensal);Sim;Celular;400;Concordo totalmente;Concordo totalmente;Concordo em parte;Nem concordo e nem discordo;Discordo totalmente;Qualidade do produto;
51;Feminino;de R$ 5.001 a R$ 10.000;Rádio;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);2;Cartão de crédito/débito físico;Frequentemente (Mensal);Sim;Celular;500;Concordo totalmente;Concordo totalmente;Concordo em parte;Concordo totalmente;Concordo em parte;Reputação da loja/site;
51;Feminino;de R$ 5.001 a R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Física;2;Carteira Digital (cartão no celular);Às vezes (Semestral);Sim;Celular;100;Concordo em parte;Concordo em parte;Concordo em parte;Concordo em parte;Concordo em parte;Preço;
43;Feminino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais acessar do que possuir;Loja Física;5;Carteira Digital (cartão no celular);Frequentemente (Mensal);Sim;Celular;300;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo totalmente;Concordo em parte;Qualidade do produto;
41;Feminino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Só possuir;Loja Física;3;Carteira Digital (cartão no celular);Sempre (Semanal);Sim;Celular;15000;Concordo em parte;Concordo totalmente;Concordo em parte;Nem concordo e nem discordo;Discordo em parte;Qualidade do produto;
55;Feminino;acima de R$ 10.000;Sites online (internet);Eventos presenciais;Só possuir;Loja Física;2;Pix;Às vezes (Semestral);Sim;Celular;250;Concordo em parte;Concordo em parte;Concordo em parte;Discordo em parte;Concordo totalmente;Atendimento pós-venda;
19;Feminino;acima de R$ 10.000;Redes Sociais;Redes Sociais;Mais possuir do que apenas acessar;Loja Física;8;Pix;Às vezes (Semestral);Sim;Celular;50;Concordo totalmente;Concordo totalmente;Concordo em parte;Discordo em parte;Nem concordo e nem discordo;Qualidade do produto;
18;Feminino;acima de R$ 10.000;Redes Sociais;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Só possuir;Loja Virtual (Internet);3;Cartão de crédito/débito físico;Frequentemente (Mensal);Sim;Celular;300;Concordo em parte;Concordo totalmente;Concordo totalmente;Discordo em parte;Nem concordo e nem discordo;Reputação da loja/site;
19;Feminino;Até R$ 2.000,00;Redes Sociais;Redes Sociais;Mais possuir do que apenas acessar;Loja Física;5;Carteira Digital (cartão no celular);Frequentemente (Mensal);Sim;Computador;100;Concordo totalmente;Concordo totalmente;Concordo em parte;Discordo totamente;Discordo totalmente;Preço;
42;Masculino;acima de R$ 10.000;Sites online (internet);Eventos presenciais;Só possuir;Loja Física;2;Cartão de crédito/débito físico;Às vezes (Semestral);Sim;Celular;100;Discorto em parte;Discordo em parte;Concordo em parte;Nem concordo e nem discordo;Nem concordo e nem discordo;Qualidade do produto;
27;Feminino;de R$ 2.001 a R$ 5.000;Sites online (internet);Redes Sociais;Mais acessar do que possuir;Loja Física;3;Cartão de crédito/débito físico;Às vezes (Semestral);Sim;Celular;100;Concordo em parte;Concordo totalmente;Concordo em parte;Nem concordo e nem discordo;Concordo em parte;Qualidade do produto;
39;Feminino;acima de R$ 10.000;Rádio;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Só possuir;Loja Virtual (Internet);1;Cartão de crédito/débito físico;Sempre (Semanal);Sim;Celular;200;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo em parte;Discordo em parte;Preço;
29;Masculino;de R$ 5.001 a R$ 10.000;Podcasts;Jogos virtuais/Games;Mais possuir do que apenas acessar;Loja Virtual (Internet);1;Carteira Digital (cartão no celular);Frequentemente (Mensal);Sim;Celular;200;Concordo em parte;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo totalmente;Preço;
18;Masculino;acima de R$ 10.000;Sites online (internet);Redes Sociais;Mais possuir do que apenas acessar;Loja Física;2;Cartão de crédito/débito físico;Às vezes (Semestral);Não;Celular;200;Concordo em parte;Concordo em parte;Concordo totalmente;Nem concordo e nem discordo;Discordo em parte;Qualidade do produto;
18;Masculino;Até R$ 2.000,00;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);3;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Celular;200;Concordo totalmente;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo totalmente;Qualidade do produto;
18;Masculino;Até R$ 2.000,00;Redes Sociais;Jogos virtuais/Games;Mais possuir do que apenas acessar;Loja Virtual (Internet);4;Cartão de crédito/débito físico;Às vezes (Semestral);Sim;Celular;100;Concordo em parte;Nem concordo e nem discordo;Concordo em parte;Discordo em parte;Concordo em parte;Preço;
57;Masculino;acima de R$ 10.000;Sites online (internet);Televisão;Mais possuir do que apenas acessar;Loja Física;1;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Celular;2000;Concordo em parte;Concordo totalmente;Discordo em parte;Discordo em parte;Nem concordo e nem discordo;Preço;
55;Masculino;acima de R$ 10.000;Sites online (internet);Eventos presenciais;Mais possuir do que apenas acessar;Loja Física;1;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Computador;2000;Concordo totalmente;Concordo totalmente;Concordo em parte;Discordo em parte;Discordo totalmente;Preço;
56;Masculino;acima de R$ 10.000;Redes Sociais;Redes Sociais;Mais possuir do que apenas acessar;Loja Física;5;Cartão de crédito/débito físico;Frequentemente (Mensal);Sim;Celular;100;Concordo em parte;Concordo totalmente;Discordo em parte;Discordo totamente;Discordo em parte;Reputação da loja/site;
